block,rate,spam,total
23650319,14,11,81
23650320,44,18,41
23650321,14,12,84
23650322,19,15,81
23650323,0,0,32
23650324,0,0,71
23650325,17,10,59
23650326,22,10,46
23650327,9,7,82
23650328,0,0,32
23650329,11,9,79
23650330,0,0,40
23650331,8,6,75
23650332,0,0,37
23650333,0,0,36
23650334,26,23,89
23650335,16,10,64
23650336,7,6,88
23650337,0,0,31
23650338,21,6,28
23650339,11,10,88
23650340,0,0,82
23650341,12,12,104
23650342,50,84,167
23650343,51,101,200
23650344,86,266,309
23650345,38,52,138
23650346,53,83,156
23650347,56,130,231
23650348,83,203,246
23650349,47,141,303
23650350,46,86,187
23650351,36,38,105
23650352,0,0,33
23650353,0,0,9
23650354,67,60,89
23650355,12,13,111
23650356,6,5,83
23650357,15,9,59
23650358,75,166,222
23650359,72,139,193
23650360,0,0,0
23650361,18,19,108
23650362,25,11,44
23650363,0,0,59
23650364,70,139,198
23650365,59,84,143
23650366,0,0,46
23650367,0,0,41
23650368,0,0,86
23650369,35,28,79
23650370,0,0,32
23650371,29,20,68
23650372,14,11,78
23650373,0,0,33
23650374,0,0,29
23650375,0,0,32
23650376,42,36,86
23650377,14,9,66
23650378,0,0,22
23650379,14,10,71
23650380,0,0,31
23650381,19,14,74
23650382,0,0,37
23650383,7,6,91
23650384,0,0,35
23650385,0,0,45
23650386,0,0,44
23650387,11,10,90
23650388,0,0,32
23650389,15,8,55
23650390,0,0,38
23650391,13,5,39
23650392,0,0,50
23650393,0,0,63
23650394,9,5,53
23650395,0,0,48
23650396,0,0,40
23650397,11,5,46
23650398,0,0,50
23650399,0,0,44
23650400,0,0,57
23650401,0,0,48
23650402,0,0,31
23650403,0,0,51
23650404,11,5,46
23650405,0,0,47
23650406,60,63,105
23650407,22,15,69
23650408,0,0,36
23650409,0,0,49
23650410,0,0,56
23650411,0,0,52
23650412,0,0,43
23650413,0,0,37
23650414,0,0,36
23650415,0,0,36
23650416,0,0,48
23650417,0,0,44
23650418,0,0,39
23650419,0,0,41
23650420,0,0,44
23650421,0,0,53
23650422,0,0,39
23650423,10,5,49
23650424,0,0,49
23650425,0,0,42
23650426,0,0,44
23650427,0,0,38
23650428,0,0,42
23650429,0,0,40
23650430,0,0,56
23650431,0,0,40
23650432,47,47,100
23650433,0,0,104
23650434,8,10,120
23650435,38,56,147
23650436,0,0,58
23650437,30,32,105
23650438,0,0,56
23650439,9,5,55
23650440,0,0,57
23650441,0,0,56
23650442,0,0,52
23650443,0,0,52
23650444,0,0,54
23650445,0,0,57
23650446,14,13,90
23650447,77,244,317
23650448,34,48,141
23650449,0,0,70
23650450,0,0,69
23650451,0,0,60
23650452,0,0,63
23650453,8,5,60
23650454,0,0,65
23650455,22,17,76
23650456,0,0,52
23650457,9,5,54
23650458,10,5,52
23650459,0,0,66
23650460,9,5,58
23650461,0,0,52
23650462,0,0,44
23650463,19,15,81
23650464,0,0,45
23650465,18,11,60
23650466,14,8,57
23650467,0,0,49
23650468,11,6,55
23650469,8,5,59
23650470,0,0,52
23650471,0,0,53
23650472,0,0,50
23650473,0,0,65
23650474,0,0,48
23650475,81,175,216
23650476,78,166,214
23650477,84,250,299
23650478,81,217,267
23650479,34,39,114
23650480,10,7,73
23650481,0,0,41
23650482,9,6,64
23650483,10,5,51
23650484,0,0,60
23650485,11,5,47
23650486,0,0,57
23650487,0,0,46
23650488,0,0,56
23650489,0,0,65
23650490,14,9,64
23650491,15,10,68
23650492,0,0,52
23650493,9,5,55
23650494,0,0,56
23650495,0,0,52
23650496,0,0,80
23650497,0,0,84
23650498,0,0,31
23650499,0,0,47
23650500,0,0,44
23650501,0,0,35
23650502,30,20,67
23650503,0,0,56
23650504,0,0,44
23650505,0,0,46
23650506,0,0,49
23650507,0,0,42
23650508,0,0,46
23650509,0,0,39
23650510,0,0,29
23650511,0,0,43
23650512,7,5,72
23650513,0,0,53
23650514,14,9,66
23650515,0,0,62
23650516,0,0,42
23650517,0,0,55
23650518,0,0,76
23650519,0,0,61
23650520,0,0,66
23650521,0,0,68
23650522,0,0,42
23650523,6,5,83
23650524,0,0,67
23650525,12,6,49
23650526,0,0,50
23650527,0,0,44
23650528,16,12,77
23650529,11,5,45
23650530,0,0,59
23650531,29,21,73
23650532,91,153,168
23650533,12,5,42
23650534,0,0,41
23650535,0,0,48
23650536,24,22,91
23650537,16,9,58
23650538,0,0,39
23650539,0,0,47
23650540,10,5,50
23650541,0,0,48
23650542,69,138,200
23650543,68,142,208
23650544,0,0,50
23650545,14,12,87
